DateTime,Entries,UniqueIPs
1639279468,6486,6519
1639280192,6484,6517
1639280909,6485,6518
1639281641,6485,6518
1639282347,6478,6511
1639283070,6484,6517
1639283790,6487,6520
1639284506,6484,6517
1639285239,6486,6519
1639285947,6485,6518
1639286671,6484,6517
1639287390,6480,6513
1639288110,6478,6511
1639288830,6479,6512
1639289694,6476,6509
1639290488,6471,6504
1639291206,6469,6502
1639291927,6465,6498
1639292894,6464,6497
1639293848,6458,6491
1639294565,6457,6490
1639295285,6456,6489
1639296015,6455,6488
1639296726,6458,6491
1639297449,6458,6491
1639298165,6461,6494
1639299128,6463,6496
1639299850,6461,6494
1639300567,6461,6494
1639301531,6461,6494
1639302247,6456,6489
1639302966,6457,6490
1639303686,6457,6490
1639304406,6461,6494
1639305125,6460,6493
1639305849,6464,6497
1639306565,6466,6499
1639307527,6465,6498
1639308249,6461,6494
1639308968,6464,6497
1639309688,6460,6493
1639310407,6461,6494
1639311127,6465,6498
1639311849,6468,6501
1639312569,6467,6500
1639313287,6467,6500
1639314017,6467,6500
1639314725,6468,6501
1639315451,6467,6500
1639316169,6469,6502
1639316887,6469,6501
1639317852,6468,6500
1639318566,6468,6500
1639319531,6467,6499
1639320247,6466,6498
1639320965,6463,6495
1639321930,6465,6497
1639322646,6465,6497
1639323369,6460,6492
1639324326,6463,6496
1639325048,6465,6498
1639326012,6466,6499
1639326725,6471,6504
1639327449,6468,6501
1639328166,6470,6503
1639329128,6473,6506
1639329853,6475,6508
1639330568,6471,6504
1639331533,6474,6507
1639332250,6474,6507
1639332965,6475,6508
1639333688,6477,6510
1639334405,6473,6506
1639335125,6471,6504
1639335847,6469,6502
1639336565,6467,6500
1639337288,6467,6500
1639338007,6466,6499
1639338728,6472,6505
1639339447,6469,6502
1639340167,6467,6500
1639341133,6464,6497
1639341846,6463,6496
1639342568,6468,6501
1639343530,6464,6497
1639344247,6465,6498
1639344967,6467,6500
1639345930,6469,6502
1639346647,6470,6503
1639347368,6472,6505
1639348326,6469,6502
1639349047,6466,6499
1639349769,6465,6498
1639350727,6463,6496
1639351446,6460,6493
1639352167,6459,6492
1639353129,6463,6496
1639353847,6465,6498
