DateTime,AddedIPs,RemovedIPs
1639171810,15,25
1639172886,15,5
1639173244,8,0
1639175408,47,51
1639176125,10,14
1639176847,8,0
1639177565,13,24
1639177925,4,0
1639178649,9,0
1639179371,8,41
1639179731,8,0
1639180446,18,2
1639182246,25,39
1639182966,6,52
1639183685,11,9
1639184045,4,0
1639184766,8,23
1639185487,8,0
1639186207,11,29
1639186926,4,2
1639187645,5,3
1639189446,22,18
1639190526,8,43
1639191618,10,7
1639191967,4,0
1639193765,25,23
1639194125,5,0
1639195218,20,18
1639195926,8,0
1639196650,9,2
1639197372,7,30
1639197729,3,1
1639198446,7,0
1639199585,20,25
1639200246,14,0
1639201683,14,23
1639203127,32,21
1639203845,3,0
1639204207,4,21
1639206425,21,16
1639207085,8,0
1639207807,4,26
1639208525,15,3
1639209246,15,0
1639209964,12,24
1639210685,4,0
1639211409,13,23
1639212485,17,12
1639213625,14,25
1639214285,9,0
1639215371,11,26
1639215727,4,1
1639216925,24,18
1639217525,9,0
1639219327,24,30
1639220525,10,23
1639221126,4,1
1639222209,12,29
1639223645,19,9
1639225445,8,18
1639226526,9,40
1639227247,8,0
1639227968,6,13
1639228685,8,0
1639229408,8,14
1639230127,9,10
1639230486,6,1
1639232286,22,23
1639232650,3,0
1639233370,14,31
1639234086,6,4
1639234446,4,1
1639236245,20,17
1639237325,10,33
1639238045,9,0
1639239126,15,22
1639240209,15,26
1639240925,8,11
1639243085,23,13
1639243808,8,41
1639244166,6,5
1639245965,31,19
1639246686,12,0
1639248126,13,42
1639250285,21,30
1639251014,10,30
1639252085,10,6
1639252446,1,0
1639254246,15,17
1639254965,14,35
1639255326,3,3
1639256045,7,0
1639256765,8,22
1639257485,7,0
1639258566,11,36
1639260365,29,11
1639262166,21,33
1639262527,2,0
1639263725,20,19
1639264686,12,0
1639265412,6,11
1639266486,11,14
1639267214,1,18
1639268647,25,0
1639270446,22,32
1639271525,15,26
1639272246,12,0
1639274044,36,32
1639275125,13,21
1639275845,10,3
1639276926,25,30
1639279086,42,13
1639279810,8,37
1639280526,11,9
1639281246,10,0
1639282690,11,11
1639284128,18,15
1639285325,16,15
1639286465,23,0
1639287606,11,29
1639288445,13,0
1639289885,23,16
1639290609,19,24
1639291325,24,1
1639293126,35,17
1639294927,47,31
1639295647,13,0
1639296365,14,17
1639296725,4,0
1639297809,16,25
1639298945,16,5
1639300085,31,20
1639300325,4,0
1639301466,30,30
1639301768,5,4
1639303564,56,29
1639305009,38,11
1639306086,24,1
1639307885,32,15
1639308608,14,23
1639308966,15,1
1639310766,35,21
1639311485,19,0
1639312208,13,11
1639312925,12,5
1639314366,19,9
1639315086,12,0
1639315809,15,14
1639316527,11,3
1639317247,13,0
1639319051,26,12
1639319770,13,14
1639320486,13,0
1639321925,36,14
1639322646,17,0
1639323725,11,20
1639325886,27,10
1639326608,8,10
1639327745,21,2
1639328768,17,16
1639329485,8,20
1639330207,7,25
1639331286,25,9
1639331647,6,0
1639332366,14,16
1639333084,13,1
1639333807,14,19
1639334526,18,3
1639335247,9,1
1639336687,19,15
1639337414,12,9
1639338129,12,5
1639338845,8,0
1639339567,8,22
1639339926,3,0
1639341009,15,173
1639341367,5,26
1639342565,21,0
1639343526,19,28
1639344609,23,27
1639345326,6,8
1639346046,4,0
1639346767,6,23
1639347486,7,0
1639347845,1,0
1639349645,19,29
1639350016,2,33
1639350725,10,4
1639351814,11,18
1639352527,4,3
1639354328,16,16
1639355466,8,20
1639355765,2,3
1639356485,11,0
1639356846,7,0
1639358647,22,6
1639359367,10,20
1639361166,23,17
1639361887,7,2
1639362608,4,22
1639364045,19,8
1639365125,6,23
1639365847,9,0
1639366928,13,24
