DateTime,AddedIPs,RemovedIPs
1639157407,25,37
1639158124,8,4
1639158844,6,9
1639159923,8,21
1639160645,10,0
1639161366,9,28
1639162084,7,4
1639162444,3,0
1639163164,12,15
1639164970,25,18
1639166044,5,0
1639167484,16,20
1639168924,26,37
1639169645,10,1
1639170365,11,14
1639171808,17,20
1639172885,8,4
1639173243,5,2
1639175406,30,39
1639176124,23,6
1639176845,11,2
1639177564,7,13
1639177924,5,2
1639178648,11,0
1639179369,5,12
1639179730,1,0
1639180445,7,0
1639182244,25,21
1639182965,15,15
1639183684,8,9
1639184044,8,0
1639184765,9,13
1639185486,5,0
1639186925,12,25
1639187644,12,0
1639188724,12,14
1639189445,12,0
1639190525,10,24
1639191617,19,7
1639191966,2,0
1639193763,25,21
1639194124,6,0
1639195217,15,15
1639195925,11,0
1639196649,12,0
1639197370,5,20
1639197728,5,4
1639198445,4,1
1639199584,13,12
1639200244,2,1
1639201682,18,19
1639203125,15,18
1639203843,11,2
1639204206,3,23
1639205284,15,5
1639206424,15,40
1639207084,14,1
1639207806,9,20
1639208524,6,3
1639209245,8,0
1639209963,6,24
1639210684,11,0
1639211408,31,20
1639212484,19,4
1639213624,14,22
1639214285,12,1
1639215370,18,26
1639215726,5,1
1639216924,9,16
1639217524,8,0
1639219325,20,34
1639220524,16,16
1639221124,12,1
1639222207,8,22
1639223644,10,2
1639225445,19,18
1639226525,141,15
1639227246,9,0
1639227966,6,15
1639228684,9,1
1639229406,7,25
1639230126,5,4
1639230485,7,0
1639232649,23,17
1639233368,8,36
1639234085,9,6
1639234445,3,0
1639236244,26,14
1639237325,8,28
1639238044,6,0
1639239124,13,18
1639240208,6,18
1639240924,11,5
1639243084,20,14
1639243807,11,27
1639244165,4,5
1639245964,23,15
1639246685,6,0
1639248125,12,32
1639250284,26,29
1639251013,10,25
1639252084,8,6
1639252445,3,0
1639254245,28,15
1639254964,11,29
1639255325,6,3
1639256044,12,1
1639256764,9,27
1639257484,11,0
1639258565,19,29
1639260364,27,31
1639262165,26,23
1639262526,3,0
1639263724,13,22
1639264685,12,0
1639265411,7,27
1639266485,15,10
1639267212,9,19
1639268645,18,1
1639270445,25,28
1639271524,14,13
1639272244,5,0
1639274044,19,24
1639275124,13,21
1639275844,11,0
1639276925,14,28
1639279085,18,16
1639279808,10,13
1639280525,9,5
1639281245,6,0
1639282688,17,17
1639284127,17,23
1639285324,8,23
1639286464,10,0
1639287605,19,36
1639288444,11,0
1639289884,10,17
1639290607,3,20
1639291324,9,3
1639293124,28,18
1639294926,21,41
1639295646,5,0
1639296364,7,19
1639296723,1,0
1639297807,14,25
1639298944,32,4
1639300084,14,42
1639300324,3,0
1639301465,14,25
1639301767,6,5
1639303563,21,17
1639305008,14,17
1639306084,8,1
1639307884,18,24
1639308606,11,27
1639308965,4,5
1639310765,17,20
1639311485,4,0
1639312207,8,25
1639312924,7,5
1639314365,25,29
1639315085,6,0
1639315808,8,26
1639316526,8,6
1639317246,8,1
1639318684,21,14
1639319768,8,33
1639320484,8,2
1639321924,26,19
1639322645,9,0
1639323724,12,37
1639325884,15,23
1639326606,8,18
1639327744,5,4
1639328767,16,16
1639330206,19,24
1639331285,18,8
1639331646,4,0
1639332365,8,13
1639333084,13,1
1639333806,16,27
1639334524,9,4
1639335246,9,2
1639336685,22,9
1639338127,16,37
1639338844,9,1
1639339566,4,16
1639339925,4,0
1639341366,20,24
1639342564,24,1
1639343525,27,13
1639344608,24,24
1639345324,10,6
