DateTime,Entries,UniqueIPs
1639280139,88146,88146
1639280858,88137,88137
1639281578,88122,88122
1639282300,88126,88126
1639283019,88105,88105
1639283740,88069,88069
1639284459,88070,88070
1639285178,88057,88057
1639285898,88064,88064
1639286619,88026,88026
1639287340,88012,88012
1639288058,87996,87996
1639288779,87989,87989
1639289619,87986,87986
1639290220,87990,87990
1639290938,88005,88005
1639291658,88003,88003
1639292379,87997,87997
1639293339,88012,88012
1639294059,88029,88029
1639294779,88033,88033
1639295498,88034,88034
1639296218,88041,88041
1639296939,88031,88031
1639297898,88066,88066
1639298619,88055,88055
1639299340,88079,88079
1639300300,88075,88075
1639301019,88074,88074
1639301979,88047,88047
1639302699,88055,88055
1639303419,88053,88053
1639304139,88046,88046
1639304860,88033,88033
1639305579,88025,88025
1639306298,88008,88008
1639307018,88008,88008
1639307739,87992,87992
1639308699,87968,87968
1639309419,87953,87953
1639310138,87945,87945
1639310859,87941,87941
1639311578,87942,87942
1639312298,87938,87938
1639313018,87938,87938
1639313740,87939,87939
1639314459,87934,87934
1639315178,87960,87960
1639315898,87968,87968
1639316618,87968,87968
1639317339,87981,87981
1639318299,87995,87995
1639319019,87996,87996
1639319978,87966,87966
1639320699,87971,87971
1639321418,87972,87972
1639322138,87964,87964
1639323098,87968,87968
1639323819,87963,87963
1639324538,87959,87959
1639325498,87929,87929
1639326218,87944,87944
1639326938,87951,87951
1639327898,87964,87964
1639328619,87964,87964
1639329338,87873,87873
1639330298,87862,87862
1639331019,87875,87875
1639331979,87861,87861
1639332699,87858,87858
1639333419,87877,87877
1639334139,87899,87899
1639334858,87932,87932
1639335579,87944,87944
1639336299,87964,87964
1639337019,87940,87940
1639337738,87955,87955
1639338458,87947,87947
1639339178,87930,87930
1639339898,87982,87982
1639340618,87978,87978
1639341578,87969,87969
1639342299,88005,88005
1639343019,88004,88004
1639343739,88030,88030
1639344698,88048,88048
1639345419,88061,88061
1639346139,88057,88057
1639347099,88049,88049
1639347818,88041,88041
1639348539,88043,88043
1639349500,88052,88052
1639350219,88059,88059
1639350938,88062,88062
1639351899,88047,88047
1639352619,88016,88016
1639353340,88006,88006
1639354059,88012,88012
1639355019,88002,88002
1639355980,88005,88005
1639356699,88009,88009
1639357418,88009,88009
1639358141,88019,88019
1639359098,88031,88031
1639359819,88032,88032
1639360538,88082,88082
1639361499,88108,88108
1639362218,88129,88129
1639362940,88131,88131
1639363658,88146,88146
1639364619,88172,88172
1639365339,88180,88180
1639366298,88203,88203
1639367019,88217,88217
1639367738,88218,88218
1639368458,88220,88220
1639369179,88213,88213
1639369899,88207,88207
1639370620,88219,88219
1639371338,88225,88225
1639372059,88239,88239
1639372779,88219,88219
1639373499,88218,88218
1639374219,88214,88214
1639374940,88219,88219
1639375659,88234,88234
1639376379,88233,88233
1639377099,88214,88214
1639377819,88231,88231
1639378540,88233,88233
1639379738,88205,88205
1639380701,88178,88178
1639381418,88152,88152
1639382140,88134,88134
1639382860,88151,88151
1639383579,88131,88131
1639384539,88080,88080
1639385259,88069,88069
1639385979,88054,88054
1639386698,88054,88054
1639387418,88046,88046
1639388139,88060,88060
1639388859,88060,88060
1639389581,88046,88046
1639390299,88066,88066
1639391018,88091,88091
1639391740,88102,88102
1639392458,88099,88099
