DateTime,AddedIPs,RemovedIPs
1639279324,1,0
1639279924,1,0
1639280525,2,4
1639281124,3,5
1639281724,2,1
1639282325,1,0
1639283525,9,17
1639284124,4,1
1639285324,4,5
1639285925,2,1
1639286524,8,4
1639287124,1,0
1639287726,6,5
1639288325,4,7
1639288924,5,2
1639290124,3,34
1639290725,1,3
1639291326,3,0
1639291924,5,9
1639292524,3,8
1639293124,3,0
1639293724,2,8
1639294924,3,9
1639295524,2,0
1639296124,3,4
1639297324,2,4
1639298525,6,2
1639299724,4,3
1639300925,1,5
1639301525,3,0
1639302124,0,2
1639303324,4,5
1639303925,8,0
1639304524,4,0
1639305124,6,6
1639305725,3,0
1639306925,5,4
1639307525,6,0
1639308124,8,18
1639308724,2,0
1639309924,0,10
1639310524,4,0
1639311724,1,5
1639312324,2,1
1639312924,2,0
1639313524,5,16
1639314124,12,0
1639314725,0,6
1639315324,1,0
1639315925,5,11
1639316525,2,9
1639317124,3,2
1639317724,7,0
1639318925,7,9
1639319524,9,4
1639320124,4,2
1639321324,4,1
1639322524,5,11
1639323725,6,9
1639324324,0,4
1639324924,4,2
1639326124,13,1
1639326724,2,4
1639327325,6,0
1639328524,11,3
1639329723,3,4
1639330925,9,0
1639331523,8,4
1639332724,0,3
1639333324,6,20
1639333924,5,0
1639334524,7,4
1639335123,12,0
1639335723,7,4
1639336924,1,10
1639337524,7,2
1639338124,1,2
1639338724,1,1
1639339324,5,2
1639339924,0,9
1639340524,6,11
1639341124,3,0
1639342324,5,15
1639342924,1,0
1639344124,3,4
1639345325,1,9
1639345924,2,0
1639346524,1,0
1639347724,14,5
1639348925,1,0
1639349524,1,0
1639350124,1,0
1639351324,1,2
1639352525,3,6
1639353725,1,1
1639354325,1,10
1639354925,4,0
1639355524,3,0
1639356125,1,6
1639356724,1,36
1639357324,1,2
1639358524,5,5
1639359725,4,9
1639360324,1,2
1639360924,2,0
1639362124,3,2
1639362725,2,19
1639363325,2,0
1639363924,6,16
1639364524,1,11
1639365125,2,0
1639365725,10,0
1639366926,4,14
1639368125,6,1
1639368725,6,3
1639369324,3,0
1639369925,4,0
1639370525,5,11
1639371124,1,2
1639371724,32,0
1639372925,7,5
1639374124,6,16
1639374724,8,0
1639375324,6,0
1639376524,7,7
1639377725,47,5
1639378925,7,12
1639379524,3,4
1639380125,4,0
1639380724,4,2
1639381325,2,1
1639381924,9,0
1639382524,3,15
1639383124,11,6
