DateTime,Entries,UniqueIPs
1639030925,5099,5332
1639031525,5100,5332
1639032124,5100,5333
1639033925,5107,5340
1639035725,5107,5340
1639036925,5108,5341
1639038126,5110,5343
1639038725,5111,5344
1639039326,5109,5341
1639039925,5110,5342
1639040525,5110,5342
1639042324,5107,5339
1639044124,5108,5340
1639045325,5104,5336
1639046526,5102,5334
1639047724,5101,5333
1639051925,5100,5332
1639053125,5100,5332
1639053725,5102,5334
1639054324,5103,5335
1639056124,5103,5335
1639056725,5097,5329
1639057325,5103,5335
1639057924,5106,5339
1639058524,5108,5341
1639059125,5109,5342
1639060925,5110,5343
1639061524,5109,5342
1639062726,5110,5343
1639063924,5111,5344
1639064525,5112,5345
1639065124,5115,5348
1639066324,5114,5347
1639067525,5115,5348
1639068724,5113,5344
1639070524,5116,5347
1639072324,5117,5348
1639072924,5119,5350
1639074724,5120,5351
1639075324,5121,5352
1639076524,5120,5351
1639077724,5122,5353
1639078325,5127,5358
1639080125,5129,5360
1639081324,5131,5362
1639081925,5132,5363
1639082525,5132,5363
1639084325,5134,5365
1639086125,5134,5365
1639086724,5135,5366
1639088524,5134,5365
1639089125,5136,5369
1639090324,5139,5372
1639091524,5138,5371
1639092124,5137,5370
1639093325,5137,5371
1639093924,5137,5371
1639094524,5135,5369
1639095724,5130,5364
1639098124,5131,5365
1639098725,5129,5363
1639099924,5128,5362
1639101124,5130,5364
1639101724,5129,5363
1639103525,5128,5362
1639104125,5128,5362
1639105324,5129,5363
1639106524,5124,5358
1639108324,5126,5360
1639108924,5125,5359
1639110124,5126,5360
1639111325,5124,5358
1639111924,5122,5356
1639113125,5117,5351
1639114325,5113,5347
1639115525,5118,5352
1639116724,5114,5348
1639117924,5110,5344
1639119724,5111,5345
1639120324,5107,5341
1639121524,5112,5346
1639122124,5111,5345
1639122723,5110,5343
1639123925,5111,5344
1639125125,5110,5343
1639126324,5105,5338
1639127524,5053,5283
1639128124,5054,5284
1639129325,5052,5281
1639129924,5053,5282
1639130524,5054,5283
1639131725,5054,5283
1639132324,5052,5281
1639132924,5054,5283
1639134124,5051,5280
1639135324,5053,5282
1639135924,5056,5285
1639138924,5056,5285
1639141324,5055,5284
1639143125,5056,5285
1639143724,5056,5285
1639144924,5055,5284
1639146724,5054,5283
1639149724,5053,5282
1639151524,5042,5271
1639152124,5047,5277
1639153324,5048,5278
1639153924,5042,5271
1639155725,5039,5268
1639156325,5040,5269
1639157524,5039,5268
1639158723,5039,5268
1639159324,5041,5271
1639160524,5043,5273
1639162324,5042,5272
1639164124,5040,5270
1639165924,5039,5269
1639167724,5039,5269
1639168325,5035,5265
1639168925,5035,5265
1639169524,5037,5268
1639170725,5035,5266
1639171925,5036,5267
1639172525,5034,5265
1639173124,5035,5266
1639175524,5032,5263
1639176724,5032,5263
1639177924,5033,5264
1639179125,5034,5265
1639179724,5036,5267
1639180324,5035,5266
1639180925,5034,5265
1639181525,5031,5262
1639182724,5032,5263
1639183326,5030,5261
1639183924,5036,5267
1639184524,5043,5274
1639185125,5038,5269
1639186324,5032,5262
1639188125,5033,5263
1639189924,5035,5265
1639190524,5025,5255
1639191725,5024,5254
1639193524,5024,5254
1639194725,5025,5255
1639195324,5020,5250
1639195925,5016,5246
1639200124,5040,5270
1639200725,5040,5270
1639201925,5039,5269
1639203125,5039,5269
1639204325,5039,5269
1639206124,5036,5266
1639207925,5035,5265
1639209124,5032,5262
1639210325,5029,5259
1639211525,5028,5258
1639213924,5026,5256
1639214524,5024,5254
1639216324,5076,5307
1639216924,5067,5298
1639218125,5068,5299
1639218724,5065,5296
1639219924,5063,5294
1639222323,5062,5293
1639225324,5061,5293
1639225924,5062,5294
1639228324,5059,5291
1639230124,5055,5287
1639233124,5062,5294
1639234323,5061,5293
1639235525,5056,5288
1639237324,5054,5286
1639239723,5054,5286
1639242724,5051,5282
1639244524,5050,5281
1639246923,5049,5280
1639248724,5052,5283
1639249324,5049,5280
1639250524,5050,5281
1639251725,5050,5281
1639252323,5052,5283
1639254724,5049,5280
1639255924,5080,5311
1639257125,5083,5314
1639259523,5082,5313
1639260724,5082,5313
1639261323,5081,5312
1639261924,5081,5312
1639263123,5080,5313
1639263724,5077,5310
1639264924,5078,5311
1639266724,5075,5308
1639268524,5075,5308
1639269724,5072,5305
1639270324,5071,5304
1639272724,5067,5300
1639273325,5065,5298
1639273924,5062,5295
1639275125,5063,5296
1639276324,5061,5294
1639277525,5060,5293
1639278124,5061,5294
1639278725,5059,5292
1639280525,5058,5291
1639281724,5054,5287
1639283525,5054,5287
1639284124,5051,5284
1639286524,5053,5286
1639287124,5050,5283
1639287726,5051,5284
1639288325,5063,5296
1639288924,5064,5296
1639290124,5064,5296
1639291924,5058,5290
1639292524,5059,5291
1639293124,5058,5290
1639293724,5059,5291
1639294924,5056,5288
1639296124,5058,5290
1639296724,5056,5288
1639297925,5053,5285
1639298525,5053,5286
1639299724,5054,5287
1639300325,5050,5283
1639300925,5049,5282
1639302124,5047,5280
1639302725,5046,5279
1639304524,5040,5273
1639305124,5075,5308
1639305725,5070,5302
1639306925,5067,5299
1639309924,5065,5297
1639310524,5064,5296
1639311724,5062,5294
1639312924,5060,5292
1639314725,5057,5289
1639316525,5051,5283
1639317724,5050,5282
1639319524,5049,5281
1639320124,5047,5279
1639322524,5044,5276
1639323124,5045,5277
1639324324,5046,5278
1639324924,5049,5281
1639325524,4997,5228
1639327325,4992,5224
1639327924,4987,5219
1639329125,4989,5221
1639329723,4988,5220
1639330324,4992,5226
1639331523,4990,5224
1639333324,4990,5224
1639333924,4989,5223
1639334524,4987,5221
1639336324,4987,5221
1639336924,4984,5218
1639337524,4985,5219
1639339324,4986,5220
1639340524,4995,5229
1639341124,4993,5227
1639341724,4990,5224
1639342924,4999,5233
1639345325,4999,5233
1639347126,5002,5236
1639347724,5004,5242
1639349524,5008,5246
1639350726,5005,5243
1639351924,5003,5241
1639352524,4999,5237
1639353124,5000,5238
1639354325,4997,5235
1639356125,4993,5231
1639356724,4964,5201
1639357324,4936,5171
1639359124,4936,5171
1639359725,4938,5170
1639360324,4937,5169
1639362124,4939,5170
1639363924,4939,5170
1639365724,4939,5170
1639367525,4937,5168
1639368725,4937,5168
1639369925,4936,5167
1639372925,4938,5169
1639373524,4937,5168
1639374724,4932,5163
1639375324,4934,5165
1639376524,4935,5166
1639377725,4934,5165
1639379524,4935,5166
1639381924,4933,5164
1639383124,4934,5165
1639386725,4933,5164
1639387925,4932,5163
1639390325,4931,5162
1639391525,4930,5161
1639392125,4934,5165
1639393325,4933,5164
1639396324,4933,5164
1639397524,4934,5165
1639398124,4934,5165
1639399324,4935,5166
1639400524,4937,5168
1639402925,4939,5170
1639404125,4938,5169
1639404726,4936,5167
1639405925,4934,5165
1639408324,4934,5166
1639409524,4935,5167
1639410725,4933,5165
1639411324,4971,5203
1639413124,4970,5202
1639414924,4969,5201
1639416725,4967,5199
1639420325,4969,5201
1639421524,4968,5200
1639422725,4968,5200
1639424524,4969,5201
1639425124,4970,5202
1639427524,4974,5206
1639428124,4969,5201
1639428724,4968,5200
1639429324,4965,5197
1639429925,4964,5196
1639432324,4962,5194
1639433524,4961,5193
1639434724,4960,5192
1639436524,4958,5190
1639437724,4957,5189
1639438324,4957,5189
1639438925,4955,5187
1639439524,4954,5186
1639440124,4953,5185
1639441925,4954,5186
1639442525,4951,5183
1639445524,4951,5183
1639446125,4950,5182
1639446725,4951,5183
1639447325,4950,5182
1639448524,4949,5181
1639449125,4948,5180
1639450325,4945,5177
1639451525,4944,5176
1639452124,4946,5178
1639453324,4943,5175
1639454524,4944,5176
1639456925,4941,5173
1639457525,4941,5174
1639458124,4942,5175
1639459925,4941,5174
1639461724,4936,5169
1639462925,4933,5166
1639463525,4932,5165
1639464724,4929,5162
1639465924,4927,5160
1639468323,4927,5160
1639468924,4924,5156
1639470124,4925,5157
1639471324,4928,5162
1639472524,4928,5162
1639473724,4927,5161
1639474324,4928,5162
1639475524,4927,5161
1639477324,4926,5160
1639477924,4926,5158
1639479724,4925,5157
1639480923,4924,5156
1639483324,4923,5155
1639485124,4924,5156
1639486324,4925,5157
1639487525,4926,5158
1639488124,4926,5158
1639489325,4927,5159
1639491724,4930,5162
1639492324,4932,5164
1639494124,4933,5165
1639495325,4931,5163
1639497124,4930,5162
1639497724,4949,5181
1639498923,4945,5177
1639500125,4944,5176
1639503124,4943,5175
1639504924,4944,5176
1639506124,4943,5175
1639507325,4942,5174
1639509126,4940,5172
1639509725,4938,5170
1639510925,4934,5166
1639511524,4935,5167
1639512124,4936,5169
1639513325,4935,5168
1639515124,4936,5169
1639516325,4933,5166
1639518125,4936,5169
1639519926,4935,5168
1639523525,4936,5169
1639524724,4932,5165
1639525924,4931,5164
1639528325,4930,5163
1639531325,4932,5165
1639533724,4932,5165
1639535524,4930,5163
1639537325,4929,5162
1639538525,4926,5159
1639540324,4924,5157
1639540924,4923,5156
1639542124,4919,5152
1639542725,4917,5150
1639544525,4916,5149
1639545725,4917,5150
1639546325,4918,5151
1639547524,4925,5158
1639548124,4926,5160
1639548725,4926,5160
1639549324,4928,5162
1639549924,4928,5162
1639551125,4931,5165
1639553524,4932,5166
1639554724,4930,5164
1639557125,4931,5165
1639557725,4932,5166
1639558324,4933,5167
1639558924,4935,5169
1639561325,4936,5170
1639562524,4955,5189
1639563125,4958,5192
1639563724,4959,5193
1639564925,4969,5203
1639566125,4966,5200
1639569724,4965,5199
1639570924,4968,5202
1639571525,4966,5200
1639572724,4966,5200
1639573324,4958,5192
1639575725,4956,5190
1639576324,4957,5191
1639577525,4956,5190
1639578724,4953,5187
1639581724,4952,5186
1639582324,4954,5188
1639582924,4969,5205
1639583524,4970,5206
1639584124,4974,5210
1639584724,4972,5208
1639586525,4970,5206
1639588924,4968,5204
1639589525,4964,5200
1639591325,4966,5202
1639592524,4966,5202
1639593725,4968,5204
1639594924,4967,5203
1639596725,4966,5202
1639600925,4964,5200
1639602124,4963,5199
1639602725,4964,5200
1639603925,4963,5199
1639605124,4964,5200
1639605724,4963,5200
1639606924,4962,5199
1639608725,4963,5200
1639612324,4961,5198
