DateTime,AddedIPs,RemovedIPs
1639255924,85,85
1639257125,67,67
1639257724,25,25
1639259523,21,21
1639260124,12,12
1639260724,22,22
1639261323,20,20
1639261924,16,16
1639263123,39,39
1639263724,29,29
1639264924,65,65
1639266724,51,51
1639268524,59,59
1639269124,28,28
1639269724,19,19
1639270324,16,16
1639270923,15,15
1639271525,34,34
1639272724,77,77
1639273325,33,33
1639273924,22,22
1639274524,29,29
1639275125,56,56
1639275724,24,24
1639276324,22,22
1639277525,53,53
1639278124,42,42
1639278725,44,44
1639279324,38,38
1639280525,27,27
1639281724,56,56
1639282325,27,27
1639283525,36,36
1639284124,21,21
1639284724,19,19
1639285324,25,25
1639286524,49,49
1639287124,8,8
1639287726,35,35
1639288325,50,50
1639288924,37,37
1639289525,21,21
1639290124,45,45
1639290725,42,42
1639291924,64,64
1639292524,43,43
1639293124,39,39
1639293724,42,42
1639294325,24,24
1639294924,13,13
1639295524,17,17
1639296124,20,20
1639296724,9,9
1639297925,15,15
1639298525,28,28
1639299124,28,28
1639299724,18,18
1639300325,22,22
1639300925,12,12
1639302124,36,36
1639302725,25,25
1639304524,25,25
1639305124,81,81
1639305725,36,36
1639306925,61,61
1639307525,17,17
1639308724,46,46
1639309324,11,11
1639309924,19,19
1639310524,18,18
1639311724,27,27
1639312324,9,9
1639312924,2,2
1639313524,8,8
1639314725,8,8
1639315324,9,9
1639315925,11,11
1639316525,19,19
1639317724,14,14
1639318326,12,12
1639319524,30,30
1639320124,8,8
1639320724,3,3
1639321324,4,4
1639322524,27,27
1639323124,11,11
1639324324,21,21
1639324924,21,21
1639325524,44,44
1639327325,71,71
1639327924,13,13
1639329125,8,8
1639329723,4,4
1639330324,25,25
1639331523,35,35
1639332124,14,14
1639333324,27,27
1639333924,26,26
1639334524,12,12
1639335123,3,3
1639336324,35,35
1639336924,10,10
1639337524,17,17
1639338124,19,19
1639339324,17,17
1639340524,28,28
1639341124,10,10
1639341724,31,31
1639342924,59,59
1639343524,16,17
1639345325,66,65
1639345924,33,33
1639346524,10,10
1639347126,30,30
1639347724,30,30
1639348324,13,13
1639349524,41,41
1639350726,31,31
1639351924,43,43
1639352524,26,26
1639353124,21,21
1639353725,15,15
1639354325,39,39
1639355524,48,48
1639356125,15,15
1639356724,30,30
1639357324,27,27
1639359124,78,78
1639359725,27,27
1639360324,23,23
1639362124,79,79
1639363924,79,79
1639365724,49,49
1639366324,31,31
1639367525,56,56
1639368725,36,36
1639369324,39,39
1639369925,13,13
1639370525,32,32
1639371724,53,53
1639372925,69,69
1639373524,20,20
1639374124,35,35
1639374724,26,26
1639375324,26,26
1639376524,62,62
1639377125,23,23
1639377725,39,39
1639378925,44,44
1639379524,24,24
1639380124,3,3
1639380724,14,14
1639381325,13,13
1639381924,11,11
1639383124,12,12
1639383725,8,8
1639384325,7,7
1639384925,3,3
1639385524,4,4
1639386124,16,16
1639386725,8,8
1639387325,7,7
1639387925,6,6
1639389124,19,19
1639390325,15,15
1639390925,17,17
1639391525,22,22
1639392125,37,37
1639392725,30,30
1639393325,38,38
1639394524,48,48
1639395125,14,14
1639396324,20,20
1639396924,29,29
1639397524,35,35
1639398124,8,8
1639398725,21,21
1639399324,35,35
1639399924,12,12
1639400524,18,18
1639401125,13,13
1639402325,46,46
1639402925,25,25
1639404125,26,26
1639404726,11,11
1639405925,16,16
1639407124,21,21
1639407724,17,17
1639408324,31,31
1639409524,65,65
1639410125,27,27
1639410725,21,21
1639411324,85,85
1639412525,82,82
1639413124,43,43
1639413725,39,39
1639414324,47,47
1639414924,49,49
1639415524,42,42
1639416124,11,11
1639416725,39,39
1639417325,15,15
1639418524,40,40
1639419125,18,18
1639420325,27,27
1639421524,18,18
1639422725,72,72
1639423324,36,36
1639424524,24,24
1639425124,31,31
1639425724,12,12
1639426923,42,42
1639427524,49,49
1639428124,22,22
1639428724,14,14
1639429324,31,31
1639429925,11,11
1639431725,87,87
1639432324,40,40
1639432925,13,13
1639433524,39,39
1639434724,61,61
1639435325,39,39
1639436524,65,65
1639437724,30,30
1639438324,52,52
1639438925,27,27
1639439524,17,17
1639440124,27,27
1639440725,17,17
1639441925,60,60
1639442525,15,15
1639443124,34,34
1639444325,51,51
1639445524,62,62
1639446125,29,29
1639446725,51,51
1639447325,52,52
1639448524,82,83
1639449125,31,31
1639449725,41,41
1639450325,8,8
1639451525,32,31
1639452124,12,12
1639453324,17,17
1639453924,44,44
1639454524,37,37
1639455724,37,37
1639456925,46,46
1639457525,19,19
1639458124,38,38
1639458724,18,18
1639459925,13,13
1639460525,42,42
1639461124,43,43
1639461724,33,34
1639462925,68,67
1639463525,34,34
1639464724,46,46
1639465325,31,31
1639465924,27,27
1639467125,30,30
1639467725,11,11
1639468323,31,31
1639468924,29,29
1639470124,38,39
1639471324,74,73
1639472524,61,61
1639473724,46,46
1639474324,18,18
1639475524,54,54
1639476124,11,11
1639477324,36,36
1639477924,31,31
1639478525,36,36
1639479124,14,14
1639479724,20,20
1639480923,75,75
1639482124,13,13
1639482724,4,4
1639483324,15,15
1639483924,17,17
1639485124,17,17
1639485725,11,11
1639486324,26,26
1639486924,11,11
1639487525,14,14
1639488124,13,13
1639488724,15,15
1639489325,14,14
1639490524,6,6
1639491125,14,14
1639491724,15,15
1639492324,17,17
1639494124,34,34
1639495325,36,36
1639495924,11,11
1639496525,3,3
1639497124,9,9
1639497724,70,70
1639498923,72,72
1639499524,13,13
1639500125,5,5
1639501324,21,21
1639501925,12,12
1639502524,17,17
1639503124,40,40
1639503725,38,38
1639504324,31,31
1639504924,41,41
1639506124,53,53
1639506724,21,21
1639507325,25,25
1639507924,30,30
1639509126,33,33
1639509725,60,60
1639510325,21,21
1639510925,51,51
1639511524,59,59
1639512124,42,42
1639513325,72,72
1639513925,23,23
1639515124,47,47
1639515724,24,24
1639516325,34,34
1639518125,74,74
1639519324,48,48
1639519926,36,36
1639521725,60,60
1639522324,27,27
1639523525,66,66
1639524124,41,41
1639524724,16,16
1639525325,41,41
1639525924,31,31
1639527125,42,42
1639528325,30,30
1639529524,84,84
1639530124,21,21
1639531325,38,38
1639531925,53,53
1639532525,39,39
1639533724,83,83
1639534324,37,37
1639534924,20,20
1639535524,28,28
1639536725,28,28
1639537325,34,34
1639538525,63,63
1639539125,25,25
1639539725,15,15
1639540324,7,7
1639540924,12,12
1639542124,20,20
1639542725,10,10
1639543925,13,13
1639544525,21,21
1639545725,17,17
1639546325,21,21
1639547524,48,48
1639548124,45,45
1639548725,30,30
1639549324,28,28
1639549924,19,19
1639551125,42,42
1639551725,8,8
1639552325,6,6
1639552924,13,13
1639553524,16,16
1639554724,24,24
1639555324,15,15
1639555925,1,1
1639557125,35,35
1639557725,20,20
1639558324,9,9
1639558924,23,23
1639559525,14,14
1639560724,17,17
1639561325,11,11
1639561924,7,7
1639562524,60,60
1639563125,28,28
1639563724,27,27
1639564325,36,36
1639564925,42,42
1639565524,13,13
1639566125,10,10
1639566725,9,9
1639567324,4,4
1639568524,15,15
1639569124,6,6
1639569724,8,8
1639570924,34,34
1639571525,12,12
1639572724,17,17
1639573324,1,1
1639573924,9,9
1639574524,12,12
1639575725,6,6
1639576324,6,6
1639577525,16,16
1639578724,8,8
1639579324,2,2
1639579924,3,3
1639580524,6,6
1639581125,1,1
1639581724,2,2
1639582324,11,11
1639582924,60,60
1639583524,26,26
1639584124,13,13
1639584724,13,13
1639586525,39,39
1639587124,37,37
1639587724,32,32
1639588924,37,37
1639589525,26,26
1639590125,11,11
1639590724,20,20
1639591325,50,50
1639592524,62,62
1639593125,14,14
1639593725,17,17
1639594324,29,29
1639594924,29,29
1639596124,27,27
1639596725,15,15
1639597325,12,12
1639597924,7,7
1639598524,23,23
1639599124,28,28
1639600324,33,33
1639600925,27,27
1639601524,28,28
1639602124,21,21
1639602725,26,26
1639603324,15,15
1639603925,29,29
1639604524,26,26
1639605124,14,14
1639605724,38,38
1639606326,20,20
1639606924,38,38
1639608125,55,55
1639608725,28,28
1639609924,38,38
1639610524,18,18
1639612324,64,64
1639612924,39,39
1639614124,75,75
1639614724,39,39
1639615924,64,64
1639616524,54,54
1639617724,40,40
1639618324,21,21
1639619524,54,54
1639620724,66,66
1639621324,37,37
1639621925,14,14
1639623124,29,29
1639623724,23,23
1639624925,26,26
1639626125,37,37
1639626725,22,22
1639627324,12,12
1639627925,18,18
1639629125,27,27
1639630324,41,41
1639630925,23,23
1639632125,36,36
1639632725,14,14
1639633326,6,6
1639633925,9,9
1639634525,11,11
1639635125,11,11
1639635725,5,5
1639636925,26,26
1639637524,11,12
1639638125,19,19
1639639324,34,34
1639639924,13,13
1639640525,9,9
1639641724,16,16
1639642325,10,9
1639642924,6,6
1639643525,13,13
1639644125,11,11
1639644723,15,15
1639645925,23,23
1639646524,45,45
1639647124,12,12
1639647724,5,5
1639648324,15,15
1639648924,5,5
1639649524,8,8
1639650124,1,1
1639650725,9,9
1639651324,5,5
1639652524,12,12
1639653724,16,16
